actual_dtg,budget_mojo,domestic total gross,genre,movie title,rating,release date,runtime (mins),budget_imdb,imdbscore,metascore,title,budget
383383494,200000000.0,383383500,Action / Adventure,Guardians of the Galaxy Vol. 2,PG-13,2017-05-05,137,200000000.0,8.1,67.0,Guardians of the Galaxy Vol. 2,200000000.0
32000000,806947.0,377173400,Horror Thriller,Psycho,M,1960-06-16,109,32000000.0,8.5,97.0,Psycho,806947.0
125049125,0.0,373285200,Sports Drama,Rocky III,PG,1982-05-28,99,17000000.0,6.8,,Rocky III,17000000.0
292004738,150000000.0,375192100,Fantasy,Harry Potter and the Order of the Phoenix,PG-13,2007-07-11,139,150000000.0,7.5,71.0,Harry Potter and the Order of the Phoenix,150000000.0
150415432,0.0,374555600,Action,Rambo: First Blood Part II,R,1985-05-22,94,150415432.0,6.4,,Rambo: First Blood Part II,150415432.0
184031112,100000000.0,373985100,Action / Adventure,Batman Forever,PG-13,1995-06-16,122,100000000.0,5.4,51.0,Batman Forever,100000000.0
363070709,58000000.0,373869900,Action,Deadpool,R,2016-02-12,106,58000000.0,8.0,65.0,Deadpool,58000000.0
178406268,14000000.0,372839600,Romantic Comedy,Pretty Woman,R,1990-03-23,119,178406268.0,6.9,51.0,Pretty Woman,14000000.0
79666653,7000000.0,372620700,Action Thriller,Earthquake,PG,1974-11-15,123,79700000.0,5.8,,Earthquake,7000000.0
334191110,200000000.0,371603700,Family Adventure,Alice in Wonderland,PG,2010-03-05,109,200000000.0,6.5,53.0,Alice in Wonderland,200000000.0
261441092,92000000.0,371544800,Animation,The Incredibles,PG,2004-11-05,115,92000000.0,8.0,90.0,The Incredibles,92000000.0
233632142,90000000.0,370344600,Drama,Cast Away,PG-13,2000-12-22,143,90000000.0,7.7,73.0,Cast Away,90000000.0
173585516,0.0,369950400,Family Comedy,Home Alone 2: Lost in New York,PG,1992-11-20,120,18000000.0,6.6,,Home Alone 2: Lost in New York,18000000.0
167780960,11000000.0,368661400,Comedy,Three Men and a Baby,PG,1987-11-25,102,167780960.0,5.9,,Three Men and a Baby,11000000.0
241438208,5000000.0,366148200,Romantic Comedy,My Big Fat Greek Wedding,PG,2002-04-19,95,0.0,6.6,62.0,My Big Fat Greek Wedding,5000000.0
333176600,170000000.0,364009700,Action / Adventure,Guardians of the Galaxy,PG-13,2014-08-01,121,170000000.0,8.1,76.0,Guardians of the Galaxy,170000000.0
353007020,190000000.0,362650300,Action,Furious 7,PG-13,2015-04-03,137,190000000.0,7.2,67.0,Furious 7,190000000.0
180981856,80000000.0,361963700,Action,Mission: Impossible,PG-13,1996-05-22,110,0.0,7.1,59.0,Mission: Impossible,80000000.0
337135885,125000000.0,360025800,Action / Adventure,The Hunger Games: Mockingjay - Part 1,PG-13,2014-11-21,123,125000000.0,6.7,64.0,The Hunger Games: Mockingjay - Part 1,125000000.0
336045770,74000000.0,359913900,Animation,Minions,PG,2015-07-10,91,0.0,6.4,56.0,Minions,74000000.0
94213184,0.0,358945900,Music Drama,Saturday Night Fever,R,1977-12-16,118,94213184.0,6.8,77.0,Saturday Night Fever,94213184.0
119285432,0.0,358765500,Drama,On Golden Pond,PG,1981-12-04,109,15000000.0,7.7,,On Golden Pond,15000000.0
206040086,33000000.0,358542200,Comedy,Austin Powers: The Spy Who Shagged Me,PG-13,1999-06-11,95,33000000.0,6.6,59.0,Austin Powers: The Spy Who Shagged Me,33000000.0
301959197,250000000.0,357764700,Fantasy,Harry Potter and the Half-Blood Prince,PG,2009-07-15,153,250000000.0,7.5,78.0,Harry Potter and the Half-Blood Prince,250000000.0
242829261,81000000.0,355988500,Fantasy Comedy,Bruce Almighty,PG-13,2003-05-23,101,81000000.0,6.7,46.0,Bruce Almighty,81000000.0
249541069,130000000.0,355224300,Fantasy,Harry Potter and the Prisoner of Azkaban,PG,2004-06-04,142,130000000.0,7.8,82.0,Harry Potter and the Prisoner of Azkaban,130000000.0
52223306,0.0,353600000,Musical,Funny Girl,G,1968-09-18,151,14100000.0,7.5,89.0,Funny Girl,14100000.0
215409889,125000000.0,353288200,Action,Mission: Impossible II,PG-13,2000-05-24,123,125000000.0,6.1,59.0,Mission: Impossible II,125000000.0
226164286,90000000.0,353231800,Action Comedy,Rush Hour 2,PG-13,2001-08-03,90,90000000.0,6.6,48.0,Rush Hour 2,90000000.0
173837933,0.0,349680500,Action Thriller,Apollo 13,PG,1995-06-30,140,52000000.0,7.6,77.0,Apollo 13,52000000.0
61749765,12000000.0,352172900,War,Patton,PG,1970-02-04,170,0.0,8.0,91.0,Patton,12000000.0
156645693,0.0,350777800,Thriller,Fatal Attraction,R,1987-09-18,123,156645693.0,6.9,67.0,Fatal Attraction,156645693.0
341268248,0.0,350117900,Animation,Zootopia,PG,2016-03-04,108,150000000.0,8.1,78.0,Zootopia,150000000.0
181410615,0.0,349383400,Fantasy Comedy,Liar Liar,PG-13,1997-03-21,86,45000000.0,6.8,70.0,Liar Liar,45000000.0
165493908,48000000.0,347497900,Period Adventure,Robin Hood: Prince of Thieves,PG-13,1991-06-14,143,165500000.0,6.9,,Robin Hood: Prince of Thieves,48000000.0
153665036,0.0,347416600,Action Comedy,Beverly Hills Cop II,R,1987-05-20,103,153665036.0,6.5,48.0,Beverly Hills Cop II,153665036.0
312433331,200000000.0,347410100,Action / Adventure,Iron Man 2,PG-13,2010-05-07,125,200000000.0,7.0,57.0,Iron Man 2,200000000.0
293004164,175000000.0,347180200,Animation,Up,PG,2009-05-29,96,175000000.0,8.3,88.0,Up,175000000.0
162831698,80000000.0,346851100,Action / Adventure,Batman Returns,PG-13,1992-06-19,126,80000000.0,7.0,68.0,Batman Returns,80000000.0
227966634,72000000.0,346825400,Sci-Fi Horror,Signs,PG-13,2002-08-02,107,0.0,6.7,59.0,Signs,72000000.0
