actual_dtg,budget,domestic total gross,genre,movie title,rating,release date,runtime (mins)
"$16,361,885",$1.4 million,"$425,409,000",War,Sergeant York,Unrated,"July 2, 1941",2 hrs. 14 min.
"$260,044,825",$123 million,"$425,264,300",Family Comedy,How the Grinch Stole Christmas,PG,"November 17, 2000",1 hrs. 44 min.
"$179,800,601",N/A,"$421,226,600",Action Drama,Top Gun,PG,"May 16, 1986",1 hrs. 50 min.
"$381,011,219",N/A,"$424,230,800",Fantasy,Harry Potter and the Deathly Hallows Part 2,PG-13,"July 15, 2011",2 hrs. 10 min.
"$245,852,179",$90 million,"$422,874,800",Animation,Toy Story 2,G,"November 19, 1999",1 hrs. 32 min.
"$267,665,011",$60 million,"$418,049,200",Animation,Shrek,PG,"May 16, 2001",1 hrs. 30 min.
"$322,719,944",$160 million,"$414,657,600",Animation,Shrek the Third,PG,"May 18, 2007",1 hrs. 32 min.
"$368,061,265",$76 million,"$414,543,800",Animation,Despicable Me 2,PG,"July 3, 2013",1 hrs. 38 min.
"$408,084,349",$250 million,"$413,316,300",Action / Adventure,Captain America: Civil War,PG-13,"May 6, 2016",2 hrs. 27 min.
"$281,576,461",$150 million,"$412,792,000",Sci-Fi Action,The Matrix Reloaded,R,"May 15, 2003",2 hrs. 18 min.
"$319,246,193",$150 million,"$410,194,200",Sci-Fi Action,Transformers,PG-13,"July 3, 2007",2 hrs. 23 min.
"$174,803,506",N/A,"$408,429,700",Adventure Comedy,Crocodile Dundee,PG-13,"September 26, 1986",1 hrs. 33 min.
"$9,183,673","$800,000","$405,918,400",War Drama,The Four Horsemen of the Apocalypse,Unrated,"March 6, 1921",2 hrs. 14 min.
"$216,540,909",$70 million,"$404,404,100",War,Saving Private Ryan,R,"July 24, 1998",2 hrs. 50 min.
"$86,273,333",$2.8 million,"$403,521,800",Horror Comedy,Young Frankenstein,PG,"December 15, 1974",1 hrs. 46 min.
"$87,404,651",$4 million,"$288,098,500",Animation,Peter Pan,G,"February 5, 1953",1 hrs. 16 min.
"$153,083,102",N/A,"$389,824,200",Horror Comedy,Gremlins,PG,"June 8, 1984",1 hrs. 46 min.
"$218,967,620",$25 million,"$309,096,900",Animation,Beauty and the Beast,G,"November 15, 1991",1 hrs. 24 min.
"$291,710,957",$180 million,"$399,357,700",Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,"December 9, 2005",2 hrs. 12 min.
"$290,013,036",$150 million,"$399,349,400",Fantasy,Harry Potter and the Goblet of Fire,PG-13,"November 18, 2005",2 hrs. 33 min.
"$309,420,425",$300 million,"$397,569,300",Period Adventure,Pirates of the Caribbean: At World's End,PG-13,"May 25, 2007",2 hrs. 48 min.
"$261,988,482",$100 million,"$397,056,400",Fantasy,Harry Potter and the Chamber of Secrets,PG,"November 15, 2002",2 hrs. 41 min.
"$183,875,760",N/A,"$392,472,300",Action Thriller,The Fugitive,PG-13,"August 6, 1993",2 hrs. 10 min.
"$21,750,000",N/A,"$392,387,800",Drama,The Caine Mutiny,Unrated,"June 24, 1954",2 hrs. 4 min.
